"","X","ResponseID","ResponseSet","Name","ExternalDataReference","EmailAddress","IPAddress","Status","StartDate","EndDate","Finished","mTurkCode","gender","age","ethnicity","work.when.not.encouraged","resentful","given.up","rebel","good.listener","took.advantage","admit.mistake","get.even","courteous","ideas.different.from.own","jealous.of.others","irritated.by.favors","hurt.someones.feelings","weight","height","household.size","annual.income","exercise","LocationLatitude","LocationLongitude","LocationAccuracy","income","annualincome","bmi","recepie","measurement","MealStyle","TreatMent"
"508",150,"R_330ZgeuvMMEDg65","Default Response Set","Anonymous",NA,NA,"164.113.217.51",0,"8/6/2015 17:00","8/6/2015 17:02",1,95897362,"Male",34,"White",2,1,0,0,1,1,1,0,1,0,0,1,0,250,72,"2-3",46000,"Once or twice a month","39,03930664","-95,20870209",-1,46000,46000,34.7222222222222,"Chicken.Breast.Cilantro.Lime.Chicken.with.Avocado.Salsa",-11,"Cilantro","Control"
"509",151,"R_3RaB3IVK2Dm1gt9","Default Response Set","Anonymous",NA,NA,"173.71.142.207",0,"8/6/2015 17:02","8/6/2015 17:04",1,2703838,"Female",44,"White",2,1,1,1,0,1,1,0,1,0,1,1,0,220,66,"4-5",1300,"Less often than once a month","37,15260315","-76,54599762",-1,1300,1300,36.3636363636364,"Chicken.Breast.Cilantro.Lime.Chicken.with.Avocado.Salsa",-15,"Cilantro","Control"
"510",152,"R_3GqZkpXHjrYmq8E","Default Response Set","Anonymous",NA,NA,"98.212.172.203",0,"8/6/2015 17:03","8/6/2015 17:05",1,3882442,"Female",26,"White",2,0,0,0,1,0,1,0,1,0,0,0,1,159,61,"2-3",18000,"Several Times a week","41,55949402","-85,85420227",-1,18000,18000,30.7659231389411,"Chicken.Breast.Cilantro.Lime.Chicken.with.Avocado.Salsa",-11,"Cilantro","Control"
"511",154,"R_BJsCQSyM5aPu1oJ","Default Response Set","Anonymous",NA,NA,"66.69.60.169",0,"8/6/2015 17:03","8/6/2015 17:06",1,35775728,"Male",34,"Hispanic or Latino",1,1,1,1,1,0,1,0,1,1,1,0,0,300,77,"6+",20000,"Less often than once a month","29,39619446","-98,46099854",-1,20000,20000,36.4311013661663,"Chicken.Breast.Cilantro.Lime.Chicken.with.Avocado.Salsa",-10,"Cilantro","Control"
"512",155,"R_scnQkEDVZQWlYl3","Default Response Set","Anonymous",NA,NA,"75.162.127.207",0,"8/6/2015 17:07","8/6/2015 17:10",1,41065995,"Female",42,"White",2,1,0,0,1,0,0,0,1,0,0,1,1,108,69,"4-5",69000,"Several Times a week","40,65759277","-111,8840027",-1,69000,69000,16.3327032136106,"Chicken.Breast.Cilantro.Lime.Chicken.with.Avocado.Salsa",-9,"Cilantro","Control"
"513",156,"R_UFn42oBYw8MZtUB","Default Response Set","Anonymous",NA,NA,"75.142.137.145",0,"8/6/2015 17:10","8/6/2015 17:13",1,44054553,"Male",45,"White",2,1,1,1,0,1,0,1,0,0,1,1,0,200,70,"1",26000,"Once or twice a week","42,18510437","-121,6141052",-1,26000,26000,29.3877551020408,"Chicken.Breast.Cilantro.Lime.Chicken.with.Avocado.Salsa",-10,"Cilantro","Control"
"514",157,"R_1GQsALgfkEFFnxs","Default Response Set","Anonymous",NA,NA,"75.118.14.22",0,"8/6/2015 17:16","8/6/2015 17:17",1,96575715,"Female",35,"White",2,0,1,0,0,1,0,1,0,0,1,1,0,170,69,NA,50000,"Several Times a week","40,08529663","-82,97519684",-1,50000,50000,25.7088846880907,"Chicken.Breast.Cilantro.Lime.Chicken.with.Avocado.Salsa",-11,"Cilantro","Control"
"515",158,"R_1MKCvRdUfDyza0u","Default Response Set","Anonymous",NA,NA,"98.240.157.255",0,"8/6/2015 17:25","8/6/2015 17:28",1,46685708,"Female",62,"White",1,1,1,0,1,0,1,0,1,0,0,1,0,190,69,"4-5",30000,"Never","45,01019287","-93,34279633",-1,30000,30000,28.7334593572779,"Chicken.Breast.Cilantro.Lime.Chicken.with.Avocado.Salsa",-15,"Cilantro","Control"
"516",160,"R_s5oA2e3vjR7eIsF","Default Response Set","Anonymous",NA,NA,"24.89.152.74",0,"8/6/2015 18:28","8/6/2015 18:31",1,61084464,"Male",26,"White",1,1,1,1,0,0,0,0,0,1,1,1,0,200,74,"2-3",25000,"Less often than once a month","40,87319946","-73,08119965",-1,25000,25000,26.2965668371074,"Chicken.Breast.Cilantro.Lime.Chicken.with.Avocado.Salsa",-10,"Cilantro","Control"
"517",162,"R_1dbqtxvYfye3Pqx","Default Response Set","Anonymous",NA,NA,"104.53.225.13",0,"8/6/2015 18:30","8/6/2015 18:33",1,7588617,"Male",48,"White",2,0,0,0,1,0,1,0,1,0,0,0,1,180,69,"2-3",33000,"Less often than once a month","36,34790039","-86,60050201",-1,33000,33000,27.2211720226843,"Chicken.Breast.Cilantro.Lime.Chicken.with.Avocado.Salsa",-15,"Cilantro","Control"
"518",167,"R_9EOzaUrMIxsgEuZ","Default Response Set","Anonymous",NA,NA,"99.22.184.17",0,"8/6/2015 18:37","8/6/2015 18:39",1,13477251,"Male",45,"White",1,1,1,1,1,1,1,0,1,0,1,1,0,185,71,"1",45000,"Once or twice a week","42,50959778","-82,93609619",-1,45000,45000,26.4233287046221,"Chicken.Breast.Cilantro.Lime.Chicken.with.Avocado.Salsa",-15,"Cilantro","Control"
"519",170,"R_124OpSREb0pbvtU","Default Response Set","Anonymous",NA,NA,"76.177.192.54",0,"8/6/2015 18:41","8/6/2015 18:43",1,29501383,"Female",28,"White",1,1,1,1,1,0,1,1,1,0,1,1,0,120,63,"2-3",50000,"Several Times a week","37,645401","-84,81710052",-1,50000,50000,21.7687074829932,"Chicken.Breast.Cilantro.Lime.Chicken.with.Avocado.Salsa",-10,"Cilantro","Control"
"520",171,"R_w044p9OCbglRMpb","Default Response Set","Anonymous",NA,NA,"63.149.18.28",0,"8/6/2015 18:47","8/6/2015 18:49",1,43031718,"Male",33,"White",2,1,1,1,0,0,0,1,0,0,0,1,0,130,68,"1",12000,"Several Times a week","36,63549805","-88,28299713",-1,12000,12000,20.242214532872,"Chicken.Breast.Cilantro.Lime.Chicken.with.Avocado.Salsa",-10,"Cilantro","Control"
"521",173,"R_dj7RqzXTS9dZukF","Default Response Set","Anonymous",NA,NA,"63.79.0.25",0,"8/6/2015 19:07","8/6/2015 19:09",1,12225633,"Male",35,"White",2,1,1,0,1,0,1,1,0,0,1,1,0,152,66,"1",35000,"Once or twice a week","37,6875","-97,33799744",-1,35000,35000,25.1239669421488,"Chicken.Breast.Cilantro.Lime.Chicken.with.Avocado.Salsa",-10,"Cilantro","Control"
"522",178,"R_31ErEAtfEgKJUG1","Default Response Set","Anonymous",NA,NA,"76.106.253.130",0,"8/6/2015 20:34","8/6/2015 20:35",1,38049619,"Female",26,"White",1,1,1,0,0,1,0,1,0,0,1,1,0,159,64,"2-3",5000,"Once or twice a week","30,16720581","-81,77149963",-1,5000,5000,27.94921875,"Chicken.Breast.Cilantro.Lime.Chicken.with.Avocado.Salsa",-9,"Cilantro","Control"
"523",1,"R_1rxG3fhpIcZBHpz","Default Response Set","Anonymous",NA,NA,"98.194.76.227",0,"8/2/2015 20:20","8/2/2015 20:23",1,84701060,"Male",54,"White",2,1,1,1,1,1,1,0,1,0,1,1,0,165,70,"1",32000,"Several Times a week","29,03219604","-95,46990204",-1,32000,32000,24.2448979591837,"Chicken.Cutlets.with.Avocado.Salsa",-9,"Cutlets","Control"
"524",2,"R_3q9xsiS3jD8yxgM","Default Response Set","Anonymous",NA,NA,"72.178.227.59",0,"8/2/2015 20:20","8/2/2015 20:23",1,30416134,"Female",65,"White",2,1,1,0,1,0,1,0,0,0,1,0,1,160,63,"2-3",15000,"Less often than once a month","30,05659485","-93,87539673",-1,15000,15000,29.0249433106576,"Chicken.Cutlets.with.Avocado.Salsa",-10,"Cutlets","Control"
"525",3,"R_x5CQgyJoKAzvAuR","Default Response Set","Anonymous",NA,NA,"72.201.237.221",0,"8/2/2015 20:21","8/2/2015 20:23",1,81607808,"Female",57,"White",2,1,1,0,1,1,0,1,1,0,1,1,0,158,66,"2-3",18000,"Less often than once a month","33,39720154","-111,7857971",-1,18000,18000,26.1157024793388,"Chicken.Cutlets.with.Avocado.Salsa",-14,"Cutlets","Control"
"526",5,"R_1P5VJKmeGyCMFZj","Default Response Set","Anonymous",NA,NA,"108.48.81.227",0,"8/2/2015 20:23","8/2/2015 20:24",1,16565724,"Male",25,"White",1,1,1,0,0,1,0,0,1,1,1,1,1,190,67,"1",45000,"Once or twice a month","38,89930725","-77,19159698",-1,45000,45000,30.4744932056137,"Chicken.Cutlets.with.Avocado.Salsa",-12,"Cutlets","Control"
"527",6,"R_6F1Y2Ks4bOpGj0R","Default Response Set","Anonymous",NA,NA,"69.140.118.143",0,"8/2/2015 20:23","8/2/2015 20:25",1,30111642,"Male",41,"Asian/Pacific Islander",2,0,0,0,1,0,1,0,1,1,0,0,1,152,65,"2-3",123000,"Once or twice a week","39,17520142","-77,17700195",-1,123000,123000,25.9029585798817,"Chicken.Cutlets.with.Avocado.Salsa",-12,"Cutlets","Control"
"528",8,"R_2aJE6fq1467b8ew","Default Response Set","Anonymous",NA,NA,"24.255.7.230",0,"8/2/2015 20:23","8/2/2015 20:25",1,14137242,"Male",24,"White",1,1,1,1,1,1,1,1,0,0,1,1,0,170,72,"1",19000,"Once or twice a week","33,40010071","-111,9290009",-1,19000,19000,23.6111111111111,"Chicken.Cutlets.with.Avocado.Salsa",-11,"Cutlets","Control"
"529",9,"R_300H5hxepTlzcDO","Default Response Set","Anonymous",NA,NA,"68.64.114.29",0,"8/2/2015 20:25","8/2/2015 20:26",1,72529040,"Male",25,"White",2,1,1,0,1,1,1,0,1,0,1,1,0,180,65,"2-3",20000,"Never","37,33540344","-82,95659637",-1,20000,20000,30.6745562130178,"Chicken.Cutlets.with.Avocado.Salsa",-15,"Cutlets","Control"
"530",10,"R_2ZTvVXKo3U5PFhG","Default Response Set","Anonymous",NA,NA,"24.120.206.150",0,"8/2/2015 20:24","8/2/2015 20:26",1,7540586,"Male",41,"Asian/Pacific Islander",2,0,0,0,0,1,1,1,0,0,1,0,0,135,66,"1",53000,"Several Times a week","36,17500305","-115,1371994",-1,53000,53000,22.3140495867769,"Chicken.Cutlets.with.Avocado.Salsa",-11,"Cutlets","Control"
"531",13,"R_vTCGpRjeQJiApDb","Default Response Set","Anonymous",NA,NA,"75.64.82.214",0,"8/2/2015 20:22","8/2/2015 20:28",1,722643,"Female",63,"White",NA,1,1,0,0,0,1,0,1,0,1,0,0,250,62,"2-3",NA,"Less often than once a month","32,52059937","-92,1065979",-1,NA,NA,46.8262226847034,"Chicken.Cutlets.with.Avocado.Salsa",-10,"Cutlets","Control"
"532",17,"R_3ktG8RWVmYOlr5J","Default Response Set","Anonymous",NA,NA,"121.247.68.245",0,"8/2/2015 20:26","8/2/2015 20:29",1,22646923,"Female",53,"White",1,1,1,1,0,1,1,0,0,0,1,1,0,141,64,"2-3",25000,"Less often than once a month","20","77",-1,25000,25000,24.78515625,"Chicken.Cutlets.with.Avocado.Salsa",-11,"Cutlets","Control"
"533",18,"R_3dR0a6gCD8JRN0r","Default Response Set","Anonymous",NA,NA,"67.44.203.34",0,"8/2/2015 20:27","8/2/2015 20:30",1,34940989,"Female",46,"White",2,1,1,1,1,0,1,0,0,0,0,1,0,140,62,"4-5",35000,"Several Times a week","38","-97",-1,35000,35000,26.2226847034339,"Chicken.Cutlets.with.Avocado.Salsa",-11,"Cutlets","Control"
"534",21,"R_szeqrEBt3KB32uZ","Default Response Set","Anonymous",NA,NA,"75.135.130.128",0,"8/2/2015 20:29","8/2/2015 20:31",1,45865785,"Male",50,"White",1,1,1,1,0,1,1,1,0,1,1,1,1,212,69,"2-3",15000,"Less often than once a month","45,34489441","-84,91500092",-1,15000,15000,32.0604914933837,"Chicken.Cutlets.with.Avocado.Salsa",-11,"Cutlets","Control"
"535",22,"R_1pnieKCJ36vjrJ0","Default Response Set","Anonymous",NA,NA,"173.18.28.106",0,"8/2/2015 20:31","8/2/2015 20:34",1,81799417,"Male",32,"White",1,1,0,1,1,1,1,1,0,0,1,1,1,198,72,"2-3",30000,"Less often than once a month","37,81799316","-89,02780151",-1,30000,30000,27.5,"Chicken.Cutlets.with.Avocado.Salsa",-14,"Cutlets","Control"
"536",23,"R_RUF3KavZTmFWMtX","Default Response Set","Anonymous",NA,NA,"74.79.194.199",0,"8/2/2015 20:32","8/2/2015 20:34",1,6909711,"Male",59,"White",1,1,1,1,0,1,0,0,0,1,0,1,0,235,68,"2-3",33000,"Never","43,10920715","-74,86419678",-1,33000,33000,36.5916955017301,"Chicken.Cutlets.with.Avocado.Salsa",-15,"Cutlets","Control"
"537",24,"R_1eDUEZeJYR2YFWV","Default Response Set","Anonymous",NA,NA,"216.49.148.67",0,"8/2/2015 20:32","8/2/2015 20:34",1,11859643,"Male",42,"White",1,1,0,0,1,0,1,0,1,0,1,1,1,270,75,"4-5",2e+05,"Several Times a week","42,28649902","-71,71469879",-1,200000,200000,34.56,"Chicken.Cutlets.with.Avocado.Salsa",-10,"Cutlets","Control"
"538",25,"R_3lRXL1Sof6O4TTS","Default Response Set","Anonymous",NA,NA,"24.62.163.231",0,"8/2/2015 20:37","8/2/2015 20:38",1,33955264,"Female",32,"White",2,1,1,1,0,1,1,0,0,0,1,1,0,100,59,"4-5",104000,"Several Times a week","42,94030762","-71,4434967",-1,104000,104000,20.683711577133,"Chicken.Cutlets.with.Avocado.Salsa",-9,"Cutlets","Control"
"539",26,"R_3MtZTpXO6AgPmiu","Default Response Set","Anonymous",NA,NA,"71.235.198.251",0,"8/2/2015 20:39","8/2/2015 20:40",1,36834955,"Male",25,"White",1,1,1,1,0,1,0,1,0,0,1,1,0,170,70,"2-3",27000,"Once or twice a week","42,79589844","-71,05699921",-1,27000,27000,24.9795918367347,"Chicken.Cutlets.with.Avocado.Salsa",-12,"Cutlets","Control"
"540",27,"R_3MGQVIDhZybqRQb","Default Response Set","Anonymous",NA,NA,"24.6.178.238",0,"8/2/2015 20:37","8/2/2015 20:40",1,48237432,"Male",39,"Asian/Pacific Islander",2,1,1,1,0,0,1,1,0,0,1,1,0,200,67,"6+",120000,"Several Times a week","37,56700134","-121,9828949",-1,120000,120000,32.078413900646,"Chicken.Cutlets.with.Avocado.Salsa",-10,"Cutlets","Control"
"541",34,"R_1M5qb9Y5y4U9erj","Default Response Set","Anonymous",NA,NA,"74.111.26.20",0,"8/2/2015 20:44","8/2/2015 20:46",1,65792933,"Female",38,"Black or African American",1,1,1,1,0,1,1,1,1,0,1,1,1,214,62,"4-5",62000,"Once or twice a month","43,08920288","-76,02500153",-1,62000,62000,40.0832466181061,"Chicken.Cutlets.with.Avocado.Salsa",-14,"Cutlets","Control"
"542",35,"R_UPYdk18QkWiIqGJ","Default Response Set","Anonymous",NA,NA,"99.43.85.48",0,"8/2/2015 20:44","8/2/2015 20:48",1,69593632,"Male",51,"Asian/Pacific Islander",1,1,0,1,1,1,1,1,1,0,1,1,0,185,70,"1",17500,"Once or twice a week","34,11250305","-118,1907959",-1,17500,17500,27.1836734693878,"Chicken.Cutlets.with.Avocado.Salsa",-11,"Cutlets","Control"
"543",36,"R_1pxSCZIyZZnkCfc","Default Response Set","Anonymous",NA,NA,"73.185.34.182",0,"8/2/2015 20:47","8/2/2015 20:48",1,87072158,"Male",45,"White",2,1,0,1,0,1,0,1,0,0,1,1,0,173,71,"2-3",37500,"Several Times a week","39,73039246","-122,3378983",-1,37500,37500,24.7093830589169,"Chicken.Cutlets.with.Avocado.Salsa",-10,"Cutlets","Control"
"544",38,"R_d6bHqk9zkDOdIhr","Default Response Set","Anonymous",NA,NA,"24.147.163.10",0,"8/2/2015 20:48","8/2/2015 20:50",1,487469,"Male",33,"Asian/Pacific Islander",1,0,0,1,1,0,1,0,1,1,0,1,1,130,69,"2-3",98000,"Once or twice a week","42,73240662","-71,186203",-1,98000,98000,19.6597353497164,"Chicken.Cutlets.with.Avocado.Salsa",-11,"Cutlets","Control"
"545",39,"R_2WClBjWxW7cqfgL","Default Response Set","Anonymous",NA,NA,"96.251.33.113",0,"8/2/2015 20:51","8/2/2015 20:54",1,13610054,"Male",34,"White",2,1,1,0,1,1,1,0,1,0,1,1,0,190,66,"1",12000,"Once or twice a month","34,5776062","-117,1591949",-1,12000,12000,31.4049586776859,"Chicken.Cutlets.with.Avocado.Salsa",-14,"Cutlets","Control"
"546",41,"R_3htI6k3v6NfvJDA","Default Response Set","Anonymous",NA,NA,"108.2.124.210",0,"8/2/2015 20:54","8/2/2015 20:57",1,30173023,"Male",26,"White",1,1,1,0,1,1,1,0,1,0,1,1,0,215,70,"1",75000,"Once or twice a week","39,18170166","-75,5970993",-1,75000,75000,31.5918367346939,"Chicken.Cutlets.with.Avocado.Salsa",-13,"Cutlets","Control"
"547",42,"R_XFDMAmiFmXMpKb7","Default Response Set","Anonymous",NA,NA,"71.42.81.188",0,"8/2/2015 20:56","8/2/2015 20:58",1,77907911,"Female",55,"White",2,1,1,0,0,1,0,0,0,0,1,1,0,140,67,"2-3",65000,"Never","30,26719666","-97,74310303",-1,65000,65000,22.4548897304522,"Chicken.Cutlets.with.Avocado.Salsa",-11,"Cutlets","Control"
"548",43,"R_xo7mtNaxgPLWmvD","Default Response Set","Anonymous",NA,NA,"108.52.0.187",0,"8/2/2015 20:57","8/2/2015 21:00",1,2472239,"Male",29,"Hispanic or Latino",2,1,0,1,1,1,1,1,0,0,1,0,0,189,73,"2-3",70000,"Several Times a week","39,15879822","-75,49410248",-1,70000,70000,25.5357477950835,"Chicken.Cutlets.with.Avocado.Salsa",-11,"Cutlets","Control"
"549",44,"R_1jrN9MrZEOLpe7i","Default Response Set","Anonymous",NA,NA,"38.124.110.51",0,"8/2/2015 20:56","8/2/2015 21:04",1,23517571,"Female",29,"White",2,1,1,0,1,1,1,0,1,0,1,0,0,175,68,"2-3",75000,"Once or twice a week","41,95599365","-87,66069794",-1,75000,75000,27.2491349480969,"Chicken.Cutlets.with.Avocado.Salsa",-9,"Cutlets","Control"
"550",46,"R_1CwPmObPGZfISL0","Default Response Set","Anonymous",NA,NA,"54.148.44.119",0,"8/2/2015 21:03","8/2/2015 21:07",1,70288442,"Male",38,"White",2,0,1,0,1,1,1,0,1,0,0,1,1,230,73,"4-5",1e+05,"Several Times a week","45,83990479","-119,7005997",-1,100000,100000,31.0752486395196,"Chicken.Cutlets.with.Avocado.Salsa",-13,"Cutlets","Control"
"551",47,"R_5t0nVtOV8OfCqbL","Default Response Set","Anonymous",NA,NA,"96.40.195.227",0,"8/2/2015 21:03","8/2/2015 21:07",1,30626315,"Male",33,"Asian/Pacific Islander",2,0,0,0,0,1,1,0,1,1,0,0,0,135,68,"2-3",104000,"Several Times a week","38,59739685","-90,00710297",-1,104000,104000,21.0207612456747,"Chicken.Cutlets.with.Avocado.Salsa",-11,"Cutlets","Control"
"552",49,"R_pMEMCiH0tzseTKh","Default Response Set","Anonymous",NA,NA,"216.49.148.67",0,"8/2/2015 21:11","8/2/2015 21:14",1,84377213,"Male",17,"White",2,1,1,1,0,1,0,1,0,0,1,0,1,147,71,"4-5",4000,"Several Times a week","42,28649902","-71,71469879",-1,4000,4000,20.9958341598889,"Chicken.Cutlets.with.Avocado.Salsa",-9,"Cutlets","Control"
"553",50,"R_3CWrSTTfLpgKDqu","Default Response Set","Anonymous",NA,NA,"121.211.226.91",0,"8/2/2015 21:13","8/2/2015 21:15",1,82444775,"Male",35,"White",1,1,0,1,0,0,1,1,1,1,1,1,0,220,74,"4-5",1e+05,"Once or twice a month","-33,96670532","151,083313",-1,100000,100000,28.9262235208181,"Chicken.Cutlets.with.Avocado.Salsa",-10,"Cutlets","Control"
"554",51,"R_vuhIZotq5bkTdrr","Default Response Set","Anonymous",NA,NA,"108.41.15.100",0,"8/2/2015 21:14","8/2/2015 21:19",1,41233844,"Male",36,"Asian/Pacific Islander",2,1,0,0,0,0,0,0,0,1,0,0,0,252,71,"2-3",29000,"Once or twice a month","40,90640259","-73,13189697",-1,290009,290009,35.9928585598096,"Chicken.Cutlets.with.Avocado.Salsa",-12,"Cutlets","Control"
"555",53,"R_1hEapK7eSXYUe9U","Default Response Set","Anonymous",NA,NA,"216.49.148.67",0,"8/2/2015 21:19","8/2/2015 21:21",1,89959291,"Female",41,"White",2,1,0,0,0,0,0,1,1,0,1,1,1,150,66,"4-5",150000,"Several Times a week","42,28649902","-71,71469879",-1,150000,150000,24.7933884297521,"Chicken.Cutlets.with.Avocado.Salsa",-11,"Cutlets","Control"
"556",55,"R_1SSXeeuJxGNWZPP","Default Response Set","Anonymous",NA,NA,"216.49.148.67",0,"8/2/2015 21:21","8/2/2015 21:27",1,39906373,"Female",12,"White",2,0,0,0,1,0,1,0,0,1,0,0,1,98,62,"6+",NA,"Once or twice a week","42,28649902","-71,71469879",-1,1,1,18.3558792924037,"Chicken.Cutlets.with.Avocado.Salsa",-12,"Cutlets","Control"
"557",56,"R_D7Z67vxqsYWfTbj","Default Response Set","Anonymous",NA,NA,"73.175.244.129",0,"8/2/2015 20:55","8/2/2015 21:30",1,53769339,"Female",68,"White",2,1,1,1,0,0,1,0,0,1,0,0,0,200,64,"6+",1e+05,"Less often than once a month","40,24549866","-77,02269745",-1,100000,100000,35.15625,"Chicken.Cutlets.with.Avocado.Salsa",-11,"Cutlets","Control"
"558",58,"R_3fCdtMVH9AoP7Fh","Default Response Set","Anonymous",NA,NA,"70.215.73.117",0,"8/2/2015 21:30","8/2/2015 21:33",1,11208593,"Female",27,"White",2,1,0,1,1,1,1,0,0,0,1,1,0,130,63,"2-3",42000,"Several Times a week","39,90789795","-75,08159637",-1,42000,42000,23.5827664399093,"Chicken.Cutlets.with.Avocado.Salsa",-10,"Cutlets","Control"
"559",59,"R_21cBZ017R1tOW0M","Default Response Set","Anonymous",NA,NA,"66.225.111.98",0,"8/2/2015 21:33","8/2/2015 21:36",1,55670218,"Male",27,"White",1,1,1,1,0,1,0,1,0,0,1,1,0,220,70,"2-3",140000,"Once or twice a week","39,29660034","-76,6072998",-1,140000,140000,32.3265306122449,"Chicken.Cutlets.with.Avocado.Salsa",-15,"Cutlets","Control"
"560",61,"R_CmrDU13x3HIo9SF","Default Response Set","Anonymous",NA,NA,"108.24.183.218",0,"8/2/2015 21:41","8/2/2015 21:45",1,74310309,"Male",29,"White",1,1,1,0,1,0,1,0,1,0,1,1,0,180,69,"2-3",120000,"Once or twice a week","39,89419556","-75,03939819",-1,120000,120000,27.2211720226843,"Chicken.Cutlets.with.Avocado.Salsa",-11,"Cutlets","Control"
"561",64,"R_3FQy40MFoRSONqw","Default Response Set","Anonymous",NA,NA,"216.195.23.35",0,"8/2/2015 22:00","8/2/2015 22:04",1,57405843,NA,39,"White",2,1,0,1,1,1,0,1,0,0,0,0,0,185,68,"4-5",58000,"Several Times a week","42,28649902","-71,71469879",-1,58000,58000,28.8062283737024,"Chicken.Cutlets.with.Avocado.Salsa",-9,"Cutlets","Control"
"562",65,"R_1Eb6KdHFiDtwful","Default Response Set","Anonymous",NA,NA,"50.179.4.158",0,"8/2/2015 22:03","8/2/2015 22:06",1,59022298,"Female",28,"White",2,0,1,0,1,0,0,0,1,0,1,0,0,171,67,"1",75000,"Several Times a week","41,87840271","-87,68520355",-1,75000,75000,27.4270438850524,"Chicken.Cutlets.with.Avocado.Salsa",-11,"Cutlets","Control"
"563",66,"R_2CrhMEeNGiURZjc","Default Response Set","Anonymous",NA,NA,"50.148.128.52",0,"8/2/2015 22:05","8/2/2015 22:07",1,26395605,"Female",33,"Asian/Pacific Islander",2,0,0,0,1,0,1,1,1,1,0,1,0,119,64,"2-3",NA,"Several Times a week","37,35369873","-122,0307007",-1,NA,NA,20.91796875,"Chicken.Cutlets.with.Avocado.Salsa",-15,"Cutlets","Control"
"564",67,"R_2fp1mY9Wc8uxnp1","Default Response Set","Anonymous",NA,NA,"108.51.147.221",0,"8/2/2015 22:05","8/2/2015 22:10",1,23472927,"Male",42,"White",1,1,1,0,1,1,0,0,0,0,1,0,0,155,68,"4-5",80000,"Once or twice a week","38,88650513","-77,09690094",-1,80000,80000,24.1349480968858,"Chicken.Cutlets.with.Avocado.Salsa",-10,"Cutlets","Control"
"565",68,"R_1Oy6M2MqZLRrFNX","Default Response Set","Anonymous",NA,NA,"71.58.208.126",0,"8/2/2015 22:09","8/2/2015 22:13",1,14071213,"Female",60,"White",1,1,0,0,1,0,1,0,1,0,1,0,0,283,63,"2-3",170000,"Once or twice a week","40,78489685","-77,84700012",-1,170000,170000,51.3378684807256,"Chicken.Cutlets.with.Avocado.Salsa",-11,"Cutlets","Control"
"566",70,"R_1GTikQ0lNOtqwJ2","Default Response Set","Anonymous",NA,NA,"50.172.45.228",0,"8/2/2015 22:27","8/2/2015 22:31",1,43733712,"Male",29,"Asian/Pacific Islander",2,0,1,0,1,0,1,0,1,0,0,1,1,190,68,"2-3",75000,"Once or twice a month","39,61759949","-86,17710114",-1,75000,75000,29.5847750865052,"Chicken.Cutlets.with.Avocado.Salsa",-13,"Cutlets","Control"
"567",71,"R_p3GcrbxxAfNv1XX","Default Response Set","Anonymous",NA,NA,"24.220.146.98",0,"8/2/2015 22:35","8/2/2015 22:38",1,65634377,"Female",29,"Other",2,1,0,0,1,0,1,1,1,1,0,0,1,150,66,"2-3",37000,"Several Times a week","43,53669739","-96,6984024",-1,37000,37000,24.7933884297521,"Chicken.Cutlets.with.Avocado.Salsa",-10,"Cutlets","Control"
"568",72,"R_1mXwrMeIBpa3O7o","Default Response Set","Anonymous",NA,NA,"79.173.164.218",0,"8/2/2015 22:44","8/2/2015 22:48",1,29624297,"Male",32,"White",2,1,1,0,0,1,1,0,1,0,1,1,0,179,73,"1",140000,"Several Times a week","51,52250671","-0,229995728",-1,140000,140000,24.1846500281479,"Chicken.Cutlets.with.Avocado.Salsa",-11,"Cutlets","Control"
"569",73,"R_3qdOrtI1JOP91Am","Default Response Set","Anonymous",NA,NA,"96.227.128.216",0,"8/2/2015 22:46","8/2/2015 22:52",1,4032181,"Female",39,"Asian/Pacific Islander",1,1,0,0,0,1,1,1,1,0,0,1,0,160,62,"4-5",175000,"Once or twice a month","40,16560364","-74,82189941",-1,175000,175000,29.9687825182102,"Chicken.Cutlets.with.Avocado.Salsa",-9,"Cutlets","Control"
"570",76,"R_20ZLq2umjKdViBK","Default Response Set","Anonymous",NA,NA,"66.44.118.6",0,"8/2/2015 23:01","8/2/2015 23:03",1,68268672,"Male",25,"White",1,1,0,0,0,1,0,1,0,0,0,1,0,200,74,"2-3",9e+05,"Several Times a week","38,95199585","-77,01999664",-1,900000,900000,26.2965668371074,"Chicken.Cutlets.with.Avocado.Salsa",-11,"Cutlets","Control"
"571",77,"R_2Cjg7IYqDQRe5ry","Default Response Set","Anonymous",NA,NA,"50.190.129.72",0,"8/2/2015 22:57","8/2/2015 23:03",1,74880681,"Female",28,"White",1,1,0,0,0,0,0,0,0,0,0,0,1,180,NA,"2-3",35000,"Several Times a week","39,15879822","-75,49410248",-1,35000,35000,NA,"Chicken.Cutlets.with.Avocado.Salsa",-10,"Cutlets","Control"
"572",79,"R_3IW5yw0AO9HtuKj","Default Response Set","Anonymous",NA,NA,"98.207.215.92",0,"8/2/2015 23:07","8/2/2015 23:12",1,77275592,"Male",31,"Asian/Pacific Islander",1,0,0,0,1,1,1,1,1,1,1,0,1,175,70,"2-3",120000,"Once or twice a week","37,71859741","-121,9163971",-1,120000,120000,25.7142857142857,"Chicken.Cutlets.with.Avocado.Salsa",-15,"Cutlets","Control"
